number,code,,ssdate,sssrhsl(%),fxj(y),ssdate1,bkzf,dyrzf,derzf,dsrzf,y
17,688018,2019/7/31,20190722,76.65,62.6,2019/7/22,5.75%,106.25,0.14,0.1,158.14
18,688019,2019/7/31,20190722,86.19,39.19,2019/7/22,12.03%,400.15,-0.09,0.02,142.9
20,688021,2019/11/30,20191106,75.24,26.17,2019/11/6,0.14%,26.9,0.19,-0.13,38.7
21,688022,2019/7/31,20190722,72.39,25.79,2019/7/22,-1.32%,94.61,0.09,-0.06,66.24
22,688023,2019/11/30,20191105,81.73,56.5,2019/11/5,-3.40%,39.93,0.12,0.29,120.14
23,688025,2019/10/31,20191031,68.85,43.86,2019/10/31,-4.41%,33.74,-0.16,0,57.77
24,688026,2020/1/31,20200122,70.4,16.49,2020/1/22,10.20%,223.59,0.1,1.09,40.97
25,688027,2020/7/31,20200709,81.56,36.18,2020/7/9,6.01%,923.91,-0.09,0.03,434.74
26,688028,2019/7/31,20190722,75.49,26.68,2019/7/22,-0.52%,109.9,0.05,0,88.21
27,688029,2019/7/31,20190722,65.68,52.45,2019/7/22,0.11%,110.7,0.12,0.04,91.85
28,688030,2019/9/30,20190930,64.4,21.06,2019/9/30,5.06%,112.73,0.09,-0.1,44.31
29,688031,2022/10/31,20221018,73,47.34,2022/10/18,21.46%,60.54,-0.04,-0.07,76
30,688032,2021/12/31,20211220,69.38,557.8,2021/12/20,-6.03%,29.98,-0.02,0.05,530.51
31,688033,2019/7/31,20190722,77.7,20.37,2019/7/22,-1.92%,96.76,0.12,-0.07,46.07
32,688035,2022/9/30,20220919,79.4,46.12,2022/9/19,-7.45%,64.46,0.05,-0.16,79.69
33,688036,2019/9/30,20190930,67.95,35.15,2019/9/30,5.30%,64.44,-0.13,-0.04,55.89
34,688037,2019/12/31,20191216,84.33,26.97,2019/12/16,13.40%,139.15,-0.09,0.24,75.15
35,688038,2021/7/31,20210713,84.74,8.6,2021/7/13,-4.32%,263.02,0.01,-0.14,31.27
36,688039,2019/12/31,20191211,85.72,50.48,2019/12/11,9.54%,54.08,-0.03,-0.05,80.24
37,688041,2022/8/31,20220812,59.68,36,2022/8/12,-3.10%,66.94,-0.05,0.07,60.69
38,688045,2022/5/31,20220526,71.9,55.15,2022/5/26,11.84%,13.51,-0.11,-0.01,68.05
39,688046,2022/4/30,20220425,50.3,22.53,2022/4/25,-18.33%,-17.89,-0.1,0.03,18.65
40,688047,2022/6/30,20220624,77.56,60.06,2022/6/24,12.19%,48.3,0.13,0.03,103.53
41,688048,2022/4/30,20220401,58.5,80.8,2022/4/1,-17.40%,-1.49,-0.07,-0.06,79.24
42,688049,2021/11/30,20211129,79.66,42.98,2021/11/29,20.50%,93.11,-0.03,-0.12,83
43,688050,2020/7/31,20200729,78.23,33.55,2020/7/29,16.19%,616.84,0,0.03,292.41
44,688051,2020/3/31,20200320,66.56,50.81,2020/3/20,-12.05%,130.29,-0.08,0.03,115.49
45,688052,2022/4/30,20220422,58.37,230,2022/4/22,-17.40%,12.86,-0.09,-0.01,263.39
46,688053,2022/7/31,20220708,55.88,55.53,2022/7/8,4.56%,-3.12,-0.07,0.09,57.92
47,688055,2020/8/31,20200817,80.03,1.22,2020/8/17,4.24%,707.38,0.35,0.02,13.44
48,688056,2020/9/30,20200902,73.79,24.8,2020/9/2,-9.75%,91.13,-0.06,-0.05,46.71
49,688057,2020/11/30,20201111,64.93,25.84,2020/11/11,-0.46%,70.12,-0.12,0.07,40.07
50,688058,2019/11/30,20191101,74.69,79.3,2019/11/1,-3.40%,26.36,-0.06,-0.04,69.37
51,688059,2021/2/28,20210208,86.59,37.09,2021/2/8,2.68%,132.41,-0.05,-0.22,84.66
52,688060,2020/7/31,20200710,74.76,44.47,2020/7/10,10.34%,468.05,-0.09,0.06,249.62
53,688061,2022/10/31,20221018,47.49,112.69,2022/10/18,6.74%,-16.65,0,0.03,96.8
54,688062,2022/1/31,20220118,53.61,34.8,2022/1/18,-11.99%,-29.6,0.3,-0.14,31.9
55,688063,2020/12/31,20201230,75.95,56,2020/12/30,2.38%,320.16,0.1,0.16,299.89
56,688065,2020/8/31,20200812,58.27,133.45,2020/8/12,6.66%,17.65,-0.12,0.01,110.62
57,688066,2019/7/31,20190722,76.53,17.25,2019/7/22,3.92%,175.94,0.04,0.04,64.74
58,688067,2021/6/30,20210616,71.12,14.71,2021/6/16,-1.05%,160.37,-0.18,-0.02,37.72
59,688068,2019/9/30,20190930,74.3,29.46,2019/9/30,2.52%,140.63,-0.04,-0.03,44.58
60,688069,2020/7/31,20200722,68.7,67.2,2020/7/22,9.95%,51.34,-0.05,0.02,70.3
61,688070,2021/2/28,20210210,82.84,23.16,2021/2/10,-1.50%,137.52,-0.09,0.01,54.66
62,688071,2021/7/31,20210729,86.37,13.73,2021/7/29,4.05%,213.18,-0.09,-0.03,43
63,688072,2022/4/30,20220420,78.57,71.88,2022/4/20,-17.40%,28.41,0.1,-0.03,101.59
64,688073,2022/10/31,20221011,41.06,88,2022/10/11,4.03%,-23.4,0.06,0.09,81.79
65,688075,2021/11/30,20211118,67.15,78.28,2021/11/18,15.02%,13.44,-0.07,0,72.32
66,688076,2021/5/31,20210520,72.03,15.57,2021/5/20,11.50%,397.75,0.01,0,78.29
67,688077,2020/7/31,20200722,74.46,28.07,2020/7/22,12.57%,117.35,0.39,-0.16,83.05
68,688078,2019/12/31,20191230,77.36,21.59,2019/12/30,9.54%,126.49,0.04,-0.03,50.07
69,688079,2021/3/31,20210302,76.37,10.19,2021/3/2,0.65%,154.66,-0.15,-0.08,25.63
70,688080,2020/2/29,20200212,82.12,27.63,2020/2/12,4.94%,383.17,0.05,-0.05,139
71,688081,2020/1/31,20200106,75.65,28.21,2020/1/6,3.79%,86.92,0.02,0.03,54.69
72,688082,2021/11/30,20211118,72.49,85,2021/11/18,20.50%,52.65,-0.03,0.1,137.9
73,688083,2021/3/31,20210311,71.28,150.5,2021/3/11,-1.36%,171.76,0.1,-0.11,318.62
74,688084,2022/12/31,20221208,66.82,60.98,2022/12/8,-4.43%,44.47,0.02,0.08,98.99
75,688085,2020/4/30,20200409,71.29,20.96,2020/4/9,6.01%,71.76,0.17,-0.02,37.79
76,688086,2020/2/29,20200226,69.43,21.49,2020/2/26,3.57%,264.08,-0.11,-0.03,77.5
77,688087,2021/7/31,20210709,76.61,21.96,2021/7/9,1.21%,255.28,0.12,0.23,114.73
78,688088,2019/7/31,20190722,79.57,28.88,2019/7/22,-2.19%,126.97,-0.1,0.05,64.61
80,688090,2020/2/29,20200217,75.69,27.55,2020/2/17,6.16%,263.01,-0.07,0,98.46
81,688091,2021/9/30,20210909,68.28,38.1,2021/9/9,2.19%,28.58,-0.15,-0.05,32.64
82,688092,2021/3/31,20210319,85.34,19.11,2021/3/19,1.83%,128.21,-0.05,-0.11,42.8
83,688093,2020/9/30,20200930,66.82,17.55,2020/9/30,-6.93%,62.22,-0.04,0.01,20.09
84,688095,2020/9/30,20200908,67.53,238.53,2020/9/8,-6.71%,29.66,0.06,-0.05,253.31
85,688096,2020/4/30,20200409,72.48,14.34,2020/4/9,2.49%,102.58,-0.06,-0.04,27.75
86,688097,2021/5/31,20210512,73.45,11.27,2021/5/12,10.53%,85.27,0.14,0.04,25.21
87,688098,2019/10/31,20191028,85.1,8.8,2019/10/28,5.13%,318.3,-0.27,-0.17,36
88,688099,2019/8/31,20190808,75.13,38.5,2019/8/8,4.18%,272.36,0.05,-0.12,149.67
89,688100,2020/1/31,20200121,73.07,13.78,2020/1/21,1.11%,192.45,-0.12,-0.07,38.75
90,688101,2019/11/30,20191115,67.15,18.26,2019/11/15,-4.13%,48.96,-0.15,0.01,26.14
91,688102,2022/3/31,20220316,75.12,10.48,2022/3/16,-13.55%,90.08,-0.17,-0.1,19.8
92,688103,2021/9/30,20210910,88.3,12.04,2021/9/10,-2.75%,516.28,0.08,-0.1,79.48
93,688105,2021/11/30,20211115,71.05,55,2021/11/15,9.01%,55.18,0.11,0.02,99.87
94,688106,2020/6/30,20200616,69.84,15.48,2020/6/16,13.97%,151.49,0,0,39.06
95,688107,2021/11/30,20211112,77.24,26,2021/11/12,20.50%,170.19,-0.04,-0.07,82.34
96,688108,2019/10/31,20191030,83.07,6.99,2019/10/30,2.53%,217.74,-0.15,0.03,22.13
97,688109,2021/3/31,20210330,70.1,50.05,2021/3/30,-1.36%,78.82,-0.14,0.02,86.64
99,688111,2019/11/30,20191118,63.5,45.86,2019/11/18,-3.40%,175.51,0.08,0.08,146.31
100,688112,2021/12/31,20211201,78.42,46.6,2021/12/1,1.02%,128.22,0,-0.02,109.61
101,688113,2021/5/31,20210506,73.75,19.14,2021/5/6,6.91%,251.93,-0.13,0.13,72.71
102,688114,2022/9/30,20220909,70.17,87.18,2022/9/9,-2.47%,14.71,0.09,0.13,124
103,688115,2022/3/31,20220314,44.15,65.65,2022/3/14,-9.13%,-23.67,-0.08,-0.01,49.56
104,688116,2019/9/30,20190925,75.02,16,2019/9/25,2.80%,221.19,-0.14,-0.02,51.21
105,688117,2021/6/30,20210603,73.92,17.9,2021/6/3,-1.24%,265.98,0.02,-0.12,66.12
106,688118,2019/12/31,20191204,83.72,26.9,2019/12/4,9.54%,60.78,-0.09,-0.07,41.34
107,688119,2022/6/30,20220606,77.72,5.06,2022/6/6,8.34%,150.59,-0.19,0.01,12.68
108,688120,2022/6/30,20220608,64.9,136.66,2022/6/8,12.19%,63.98,0.01,0.05,238.5
109,688121,2021/9/30,20210906,75.39,18.16,2021/9/6,-6.22%,116.02,0.04,0.13,46.28
110,688122,2019/7/31,20190722,83.4,15,2019/7/22,3.92%,266.6,-0.16,0.06,53.65
111,688123,2019/12/31,20191223,73.2,33.25,2019/12/23,13.40%,139.19,0.01,0.04,82.28
112,688125,2022/4/30,20220415,49.41,60.55,2022/4/15,-18.61%,-23.25,-0.03,-0.06,45.39
113,688126,2020/4/30,20200420,71.14,3.89,2020/4/20,11.52%,180.46,-0.05,0.14,11.8
114,688127,2020/9/30,20200921,80.85,15.41,2020/9/21,-6.55%,126.02,-0.07,0.04,34.4
115,688128,2019/11/30,20191105,81.34,18.79,2019/11/5,-3.78%,43.27,-0.19,0.06,25.68
116,688129,2020/10/31,20201023,72.25,15.22,2020/10/23,-1.71%,123.39,-0.18,0.01,33.09
117,688130,2022/7/31,20220729,52.55,62.98,2022/7/29,-2.15%,-7.67,0.03,-0.04,63.65
118,688131,2021/6/30,20210608,71.59,64.99,2021/6/8,2.58%,382.27,0.1,-0.02,246.08
119,688132,2022/9/30,20220923,48.41,28.88,2022/9/23,-6.44%,-15.17,-0.1,0,24.5
120,688133,2020/10/31,20201030,82.02,44.47,2020/10/30,-1.71%,48.55,-0.07,-0.03,69.78
121,688135,2020/11/30,20201111,77.18,15.72,2020/11/11,7.85%,297.77,-0.08,0.01,69.38
122,688136,2020/12/31,20201214,66.93,22.33,2020/12/14,-1.41%,83.65,0.28,-0.11,52.32
123,688137,2022/9/30,20220929,41.34,106.19,2022/9/29,-7.96%,-28.89,0,-0.11,75.51
124,688138,2019/11/30,20191120,74.85,8.78,2019/11/20,-0.22%,122.67,-0.17,0,19.33
125,688139,2019/10/31,20191025,69.31,15.53,2019/10/25,2.53%,96.2,0.28,-0.11,38.33
126,688141,2022/12/31,20221223,72.26,38.26,2022/12/23,-6.31%,32.62,0.04,0,52.8
127,688143,2022/12/31,20221212,71.06,35.67,2022/12/12,-7.08%,37.4,0.01,-0.07,49.74
128,688146,2023/4/30,20230421,74.24,36.15,2023/4/21,-1.97%,35.8,0.04,-0.11,51
129,688147,2022/12/31,20221223,66.99,24.21,2022/12/23,-6.18%,13.38,0.01,0,27.81
130,688148,2021/8/31,20210806,80.17,4.58,2021/8/6,10.26%,659.83,0.09,-0.09,37.63
131,688150,2022/3/31,20220318,55.14,22.05,2022/3/18,-6.94%,-13.83,0.01,-0.05,19.34
132,688151,2021/12/31,20211206,70.33,35.09,2021/12/6,1.68%,24.25,-0.13,0.02,42.98
133,688152,2022/10/31,20221028,77.07,68.89,2022/10/28,21.46%,212.38,0.06,-0.04,230
134,688153,2022/4/30,20220412,46.85,66.6,2022/4/12,-17.40%,-36.04,0.13,0.16,56.72
135,688155,2020/8/31,20200811,72.22,38.77,2020/8/11,5.11%,111.53,-0.16,-0.02,81.51
136,688156,2020/9/30,20200922,74.15,15.91,2020/9/22,-8.66%,84.16,-0.06,-0.02,28.58
137,688157,2020/6/30,20200609,79.81,34.48,2020/6/9,2.05%,166.82,-0.07,0.11,95.68
138,688158,2020/1/31,20200120,71.82,33.23,2020/1/20,7.06%,119.53,-0.06,-0.03,72.89
139,688159,2020/1/31,20200123,67.64,20.35,2020/1/23,1.11%,178.18,-0.2,0.59,56.53
140,688160,2020/11/30,20201112,74.6,20.34,2020/11/12,1.69%,180.48,-0.03,0.28,72.57
141,688161,2021/6/30,20210630,71.95,36.22,2021/6/30,-1.05%,192.79,0.01,-0.11,105.87
142,688162,2021/11/30,20211110,85.73,46,2021/11/10,14.83%,94.57,0.01,0.16,104.47
143,688163,2022/3/31,20220311,71.35,33.03,2022/3/11,-4.48%,67.42,-0.08,-0.17,53.52
144,688165,2020/7/31,20200715,70.93,6.35,2020/7/15,14.57%,387.87,-0.06,-0.24,30.98
145,688166,2019/11/30,20191108,70.87,12.71,2019/11/8,-0.56%,140.83,0.06,-0.13,32.11
146,688167,2021/12/31,20211224,74.52,78.69,2021/12/24,-4.28%,145.14,-0.06,0.08,213.55
147,688168,2019/9/30,20190906,73.03,56.88,2019/9/6,5.06%,216.53,-0.03,-0.05,126.58
148,688169,2020/2/29,20200221,72.68,271.12,2020/2/21,2.68%,84.46,-0.08,0.02,352.98
149,688170,2022/4/30,20220429,44.86,30.18,2022/4/29,-18.61%,-2.25,-0.06,-0.02,29.18
150,688171,2022/1/31,20220127,70.36,28.68,2022/1/27,-4.62%,23.57,-0.19,0.02,35.13
151,688172,2022/12/31,20221216,60.82,21.98,2022/12/16,-6.31%,4.69,-0.11,0,23.01
152,688173,2022/1/31,20220121,78.22,33.57,2022/1/21,-14.96%,31.22,-0.22,-0.04,44.05
153,688175,2022/3/31,20220315,53.41,51.68,2022/3/15,-12.42%,-10.99,0.01,-0.01,47.17
154,688176,2022/1/31,20220107,48.53,22.98,2022/1/7,-10.00%,-23.41,0.03,-0.03,18.07
155,688177,2020/2/29,20200221,63.9,32.76,2020/2/21,2.32%,83.76,0.01,0.02,62.01
156,688178,2020/1/31,20200114,73.97,25.2,2020/1/14,0.13%,102.9,-0.05,0.07,52.39
157,688179,2020/10/31,20201026,70.31,19.43,2020/10/26,-1.71%,131.91,0.01,-0.08,32.09
158,688180,2020/7/31,20200715,62.06,55.5,2020/7/15,22.48%,172.07,-0.16,-0.08,151
159,688181,2020/1/31,20200106,69.43,43.98,2020/1/6,2.77%,39.36,-0.02,0.03,61.02
160,688182,2021/11/30,20211116,83.32,10.5,2021/11/16,16.29%,85.71,0.26,0.03,27.19
161,688183,2021/2/28,20210225,75.39,12.42,2021/2/25,-1.18%,72.62,-0.02,-0.06,20.61
162,688184,2022/9/30,20220919,52.85,51.88,2022/9/19,-11.28%,-21.76,0.04,-0.02,42.13
163,688185,2020/8/31,20200813,69.53,209.71,2020/8/13,-11.21%,87.45,-0.11,0.04,391.08
164,688186,2020/2/29,20200211,73.76,17.16,2020/2/11,-4.54%,210.2,0.02,-0.1,52.34
165,688187,2021/9/30,20210907,64.63,31.38,2021/9/7,-4.83%,83.24,-0.1,0.02,56.76
166,688188,2019/8/31,20190808,72.47,68.58,2019/8/8,-1.52%,255.61,-0.01,-0.13,171.14
167,688189,2020/3/31,20200326,64.29,34.94,2020/3/26,-0.78%,86.29,-0.15,-0.12,46.13
168,688190,2021/11/30,20211126,77.07,46.63,2021/11/26,34.98%,182.22,0.09,-0.05,143.34
169,688191,2021/4/30,20210408,71.6,11.38,2021/4/8,-1.42%,116.61,-0.13,-0.07,24.21
170,688192,2021/12/31,20211210,53.6,52.58,2021/12/10,6.91%,-21.83,-0.02,0.01,41.1
171,688193,2022/3/31,20220330,62.92,72.65,2022/3/30,-4.28%,-10.86,-0.02,-0.05,64.76
172,688195,2021/3/31,20210326,68.6,13.6,2021/3/26,0.65%,54.78,-0.08,-0.01,20.67
173,688196,2019/11/30,20191121,72.45,42.93,2019/11/21,-4.13%,18.5,-0.11,-0.09,48.14
174,688197,2022/3/31,20220323,42.33,39.9,2022/3/23,3.49%,-19.52,-0.04,-0.07,32.11
175,688198,2019/12/31,20191209,78.28,23.68,2019/12/9,4.47%,49.41,0.13,-0.14,28.25
176,688199,2019/11/30,20191105,69.38,66.68,2019/11/5,-4.13%,6.42,-0.06,0.02,68.3
177,688200,2020/2/29,20200218,73.08,107.41,2020/2/18,6.87%,216.55,-0.04,-0.06,227.57
178,688201,2021/4/30,20210421,70,26.78,2021/4/21,-3.39%,53.73,-0.05,0.09,28.12
179,688202,2019/11/30,20191105,77.52,41.5,2019/11/5,-3.90%,71.08,-0.07,0.04,50.39
180,688203,2022/8/31,20220816,71.29,16.68,2022/8/16,-3.76%,25,-0.1,0.06,20.75
181,688205,2022/8/31,20220809,66.59,48.51,2022/8/9,-2.13%,25.79,-0.08,0.04,61.02
182,688206,2021/12/31,20211228,78.37,28.28,2021/12/28,3.25%,51.03,-0.1,-0.01,42.68
183,688207,2022/3/31,20220317,64.14,39.49,2022/3/17,-9.65%,-5.14,-0.07,0.06,37.46
184,688208,2020/2/29,20200213,72.27,24.36,2020/2/13,3.57%,204.19,-0.11,0.01,72.72
185,688209,2022/4/30,20220419,62.06,24.23,2022/4/19,-17.40%,-9.7,0.05,0.01,23.06
187,688211,2021/10/31,20211026,47.34,90.2,2021/10/26,-0.35%,-12.63,0,-0.01,77.81
188,688212,2021/11/30,20211115,85.21,22.5,2021/11/15,15.02%,71.16,-0.1,0.01,38.37
189,688213,2022/5/31,20220520,78.41,31.51,2022/5/20,11.84%,79.82,-0.05,-0.1,56.66
190,688215,2020/8/31,20200828,78.34,34.73,2020/8/28,5.15%,160.32,-0.19,-0.02,89.62
191,688216,2021/6/30,20210623,85.68,14.82,2021/6/23,21.34%,386.64,-0.15,0.04,70.83
192,688217,2021/5/31,20210517,83.4,18.42,2021/5/17,9.23%,477.74,-0.04,0.07,122.42
193,688218,2019/12/31,20191211,77.4,17.36,2019/12/11,12.93%,84.74,-0.1,-0.03,31.58
194,688219,2020/11/30,20201118,83.49,8.29,2020/11/18,5.56%,373.46,-0.1,-0.02,38.97
195,688220,2022/1/31,20220114,53.09,164.54,2022/1/14,-14.96%,-33.75,-0.03,0.01,109
196,688221,2020/10/31,20201028,65.62,20.5,2020/10/28,-1.62%,45.9,-0.15,-0.01,29.91
197,688222,2020/4/30,20200416,75.1,20.52,2020/4/16,1.22%,129.43,-0.15,-0.01,46.74
198,688223,2022/1/31,20220126,66.73,5,2022/1/26,-12.71%,111,-0.04,0.03,10.53
199,688225,2022/2/28,20220209,87.5,30.51,2022/2/9,3.77%,27.53,-0.17,-0.08,38.65
200,688226,2021/7/31,20210707,82.83,6.42,2021/7/7,12.75%,196.73,0.01,-0.07,19
201,688227,2021/12/31,20211230,58.67,37.09,2021/12/30,3.25%,-11.51,-0.02,0,32.6
203,688229,2020/8/31,20200817,73.2,65.82,2020/8/17,2.06%,84,0.06,-0.12,144.8
204,688230,2021/12/31,20211201,74.49,134.81,2021/12/1,-5.50%,39.92,-0.1,0.02,133.56
205,688231,2022/7/31,20220722,57.83,39.08,2022/7/22,4.56%,-4.38,0.07,0.1,44.82
206,688232,2021/11/30,20211117,48.73,48.49,2021/11/17,15.69%,-4.5,0.05,-0.03,47.96
207,688233,2020/2/29,20200221,74.08,21.67,2020/2/21,6.87%,259.76,-0.02,0.01,76.75
208,688234,2022/1/31,20220112,69.44,82.79,2022/1/12,-14.96%,3.27,-0.04,-0.05,85.5
209,688235,2021/12/31,20211215,34.24,192.6,2021/12/15,1.82%,-16.42,0,0.01,162
210,688236,2021/12/31,20211230,54.4,29.81,2021/12/30,1.68%,-3.99,-0.04,-0.01,28.42
211,688237,2022/7/31,20220701,79.52,41.27,2022/7/1,4.56%,68.4,-0.03,-0.03,69.5
212,688238,2022/3/31,20220322,79.22,13.23,2022/3/22,1.64%,65.61,0.17,0.03,26.41
213,688239,2021/7/31,20210705,75.11,11.48,2021/7/5,3.63%,240.77,0.05,-0.01,46.88
214,688244,2022/10/31,20221019,81.05,49.19,2022/10/19,21.46%,22.48,-0.06,0,61.53
215,688246,2021/12/31,20211214,71.35,39.5,2021/12/14,3.25%,8.23,-0.01,0.04,44.37
216,688247,2022/8/31,20220825,69.82,9.37,2022/8/25,-3.73%,45.14,-0.11,-0.03,13.6
217,688248,2021/12/31,20211222,84.52,12.24,2021/12/22,8.88%,124.67,0.01,-0.05,27.68
219,688251,2022/6/30,20220606,77.74,35.62,2022/6/6,10.42%,56.54,-0.13,0.02,55.76
220,688252,2022/9/30,20220927,52.26,21.68,2022/9/27,-12.49%,-4.47,-0.09,-0.06,20.71
221,688253,2022/7/31,20220728,76.54,26.06,2022/7/28,-1.54%,26.63,-0.09,0,33
222,688255,2021/10/31,20211025,72.41,47.11,2021/10/25,-1.81%,10.76,-0.13,-0.08,51.27
223,688256,2020/7/31,20200720,77.92,64.39,2020/7/20,10.01%,229.86,0.29,0.03,281.5
224,688257,2021/10/31,20211027,50.03,62.3,2021/10/27,-0.35%,-14.04,-0.07,0,52.89
225,688258,2019/12/31,20191209,81.88,26.49,2019/12/9,9.54%,108.38,0.43,-0.13,78.32
226,688259,2022/1/31,20220112,77.43,66.6,2022/1/12,-14.96%,32.36,-0.03,-0.04,107.91
227,688260,2021/4/30,20210406,73.72,9.63,2021/4/6,-3.30%,196.26,-0.09,-0.1,28.37
228,688261,2022/2/28,20220210,71.27,130,2022/2/10,4.72%,0.08,0.05,0.03,147.99
229,688262,2022/1/31,20220106,72.59,41.98,2022/1/6,-14.96%,11.29,0.01,0,47.35
230,688265,2021/12/31,20211228,54.71,84.62,2021/12/28,-4.46%,-18.02,0.04,0.02,72.75
231,688266,2020/1/31,20200123,64.12,33.76,2020/1/23,4.49%,120.94,-0.1,0.15,74.59
232,688267,2022/2/28,20220216,74.56,41.9,2022/2/16,7.18%,0.72,0.07,-0.06,46.35
233,688268,2019/12/31,20191226,77.56,22.16,2019/12/26,18.02%,134.66,-0.08,-0.09,51.33
234,688269,2021/6/30,20210609,78.13,18.94,2021/6/9,-2.00%,320.22,0.46,-0.09,81.6
235,688270,2022/1/31,20220127,51.3,61.88,2022/1/27,-14.96%,-9.18,-0.02,-0.01,55.92
236,688271,2022/8/31,20220822,60.76,109.88,2022/8/22,-3.43%,64.93,0,-0.03,182
237,688272,2021/10/31,20211018,73.44,22.56,2021/10/18,1.05%,104.39,0.04,-0.09,48.15
238,688273,2022/8/31,20220811,71.88,40.29,2022/8/11,-3.43%,9.38,-0.01,-0.1,43.44
239,688275,2022/9/30,20220929,38.39,299.88,2022/9/29,-11.28%,-27.59,-0.06,-0.05,217.14
240,688276,2021/6/30,20210625,66.11,36.35,2021/6/25,-4.07%,226,-0.09,-0.07,118.3
241,688277,2020/7/31,20200707,75.13,12.04,2020/7/7,16.19%,614.29,0.21,-0.02,118
242,688278,2020/1/31,20200117,78.2,8.24,2020/1/17,6.64%,328.4,0.21,0.15,49.1
243,688279,2022/4/30,20220420,48.22,82,2022/4/20,-17.40%,-19.27,-0.07,-0.03,65.8
244,688280,2021/10/31,20211027,78.53,13.78,2021/10/27,2.72%,28.45,-0.22,0.01,17.7
245,688281,2022/3/31,20220307,75.88,189.5,2022/3/7,-12.42%,37.2,0.01,0.12,209.13
246,688282,2022/3/31,20220318,51.28,65.21,2022/3/18,-12.42%,-15.04,0.02,-0.06,55.59
247,688283,2022/2/28,20220215,78.42,33.8,2022/2/15,7.77%,11.04,0,-0.05,37.65
248,688285,2021/10/31,20211020,76.63,7.18,2021/10/20,-3.25%,48.33,-0.08,0,10.54
249,688286,2020/8/31,20200810,79.42,62.67,2020/8/10,-2.87%,269.4,-0.16,-0.11,230.69
250,688287,2022/5/31,20220525,22.95,21.88,2022/5/25,13.98%,-23.63,0.08,-0.07,18.06
251,688288,2019/11/30,20191106,75.91,24.99,2019/11/6,-4.16%,25.09,0.43,-0.17,43.99
252,688289,2020/8/31,20200828,67.92,50.48,2020/8/28,-6.54%,129.91,-0.08,0.01,73.04
253,688290,2022/4/30,20220429,50.92,33.89,2022/4/29,-18.61%,-6.37,0.07,-0.06,28.07
254,688291,2022/10/31,20221026,71.28,26.77,2022/10/26,21.46%,27.16,-0.05,-0.13,34.04
255,688292,2022/8/31,20220818,69.09,16.56,2022/8/18,-2.13%,20.17,-0.07,-0.02,19.9
256,688293,2022/9/30,20220902,73.47,80.2,2022/9/2,-11.32%,58.65,-0.1,0.03,127.24
257,688295,2022/4/30,20220406,72.48,29.33,2022/4/6,-18.80%,24.62,-0.09,-0.04,36.55
258,688296,2021/7/31,20210727,71.02,12.46,2021/7/27,-4.32%,161.72,-0.19,0.25,36.76
260,688298,2020/2/29,20200205,69.13,21.25,2020/2/5,8.01%,586.96,-0.12,0.06,97.25
261,688299,2019/11/30,20191106,74,13.71,2019/11/6,0.51%,30.27,0.18,-0.04,20.75
