number,code,,ssdate,sssrhsl(%),fxj(y),ssdate1,bkzf,dyrzf,derzf,dsrzf,y
321,688370,2022/8/31,20220825,52.04,59.76,2022/8/25,-4.27%,-23.9,-0.06,0,45.48
322,688371,2022/8/31,20220802,67.32,18.54,2022/8/2,-2.33%,57.98,0.25,-0.08,36.7
323,688372,2022/10/31,20221026,71.82,61.49,2022/10/26,6.74%,81.59,-0.03,-0.1,111.66
324,688373,2022/8/31,20220805,67.84,8.16,2022/8/5,-3.73%,33.33,0.06,-0.11,11.58
325,688375,2022/7/31,20220722,69.83,70.88,2022/7/22,4.56%,35.43,0,0.08,103.14
326,688376,2022/11/30,20221118,64.4,29.19,2022/11/18,8.17%,29.15,-0.11,-0.04,37.7
327,688377,2020/7/31,20200708,70.54,16.42,2020/7/8,13.32%,143.61,0.01,-0.02,39.77
328,688378,2020/9/30,20200903,72.99,62.57,2020/9/3,-7.97%,51.25,0.06,-0.17,67.71
329,688379,2020/8/31,20200819,77.05,16.78,2020/8/19,6.21%,199.23,-0.25,-0.05,49.26
330,688380,2022/8/31,20220805,79.54,30.86,2022/8/5,-3.10%,82.11,-0.14,-0.04,56.2
331,688381,2022/8/31,20220823,67.4,41.68,2022/8/23,-3.10%,15.81,0.02,-0.06,49.05
332,688382,2022/7/31,20220725,50.33,18.12,2022/7/25,-2.28%,-15.62,-0.05,0.07,15.73
333,688383,2021/4/30,20210428,74.3,19.58,2021/4/28,-0.92%,234.53,0.19,0.06,81.98
334,688385,2021/8/31,20210804,76.14,6.23,2021/8/4,-9.41%,797.27,0.04,-0.05,58.24
335,688386,2020/10/31,20201016,88.57,16.28,2020/10/16,3.09%,183.6,-0.18,0.09,45.68
336,688387,2022/9/30,20220926,46.2,6.05,2022/9/26,-9.93%,-3.31,-0.06,0.04,5.85
337,688388,2019/7/31,20190722,76,28.26,2019/7/22,-2.28%,100.5,0.06,-0.02,61.04
338,688389,2019/11/30,20191105,85.53,9.1,2019/11/5,-3.30%,115.71,-0.08,0.11,19.62
339,688390,2020/9/30,20200904,78.4,37.93,2020/9/4,-0.78%,255.92,-0.08,-0.12,95.5
340,688391,2022/9/30,20220913,71.42,115,2022/9/13,-12.49%,20.09,0.2,-0.03,165.66
341,688392,2022/9/30,20220927,78.22,71.18,2022/9/27,-11.28%,69.46,-0.06,0,120.62
342,688393,2020/8/31,20200820,71.93,30.56,2020/8/20,-6.54%,97.91,-0.07,-0.1,59.3
343,688395,2021/4/30,20210429,83.41,15.95,2021/4/29,-0.69%,124.58,-0.16,-0.06,35.05
344,688396,2020/2/29,20200227,61.09,12.8,2020/2/27,6.87%,228.2,0.14,0.03,50.74
345,688398,2020/2/29,20200211,75.78,24.12,2020/2/11,0.91%,252.4,-0.01,-0.1,82.57
346,688399,2019/12/31,20191205,74.07,46.78,2019/12/5,4.47%,17.32,-0.07,-0.01,48.79
347,688400,2022/7/31,20220706,69.8,21.93,2022/7/6,11.23%,55.4,-0.15,-0.02,34.08
348,688401,2022/8/31,20220817,82.03,25.08,2022/8/17,-3.10%,129.23,-0.12,-0.08,57.49
349,688403,2022/8/31,20220818,84.1,8.88,2022/8/18,-3.10%,90.77,0.03,-0.13,17.49
350,688408,2020/8/31,20200828,71.35,42.19,2020/8/28,5.11%,84.4,0.07,-0.02,93.11
351,688409,2022/10/31,20221010,67.99,69.99,2022/10/10,6.74%,51.02,0.03,0.18,133
352,688410,2022/12/31,20221226,44.14,32.3,2022/12/26,-7.30%,-18.98,0,0.01,26.65
353,688416,2022/8/31,20220829,53.8,65.11,2022/8/29,-3.10%,-24.96,0.03,-0.06,52.7
354,688418,2020/7/31,20200722,75.99,16.25,2020/7/22,6.01%,158.4,0.32,-0.02,57.77
355,688419,2022/11/30,20221107,73.26,37.85,2022/11/7,4.14%,19.13,-0.05,0.1,47.14
356,688420,2022/12/31,20221209,59.04,48.96,2022/12/9,-6.25%,1.94,-0.01,-0.05,49.91
357,688425,2021/6/30,20210622,73.85,2.87,2021/6/22,4.41%,186.41,-0.04,-0.15,8.03
358,688426,2022/10/31,20221025,47.23,48.98,2022/10/25,10.36%,-10.94,0.02,0.01,44.9
359,688428,2022/9/30,20220921,49.23,11.03,2022/9/21,-7.96%,-15.41,-0.04,0.02,9.33
360,688432,2022/11/30,20221110,75.51,9.91,2022/11/10,4.14%,91.73,-0.08,0,19
